model,vintage,sample,n_quarters,rmse,mae,bias
combination,1,full,85,4.498332027006022,2.2787577679118787,0.32137086028640677
combination,1,pre_covid,60,1.896928225893252,1.4542199494992583,0.24540553626875064
combination,1,ex_covid,79,2.045236037337818,1.6029722021736759,0.28203909950293293
combination,2,full,85,4.216805290088504,2.0282456741374912,0.8202293845433427
combination,2,pre_covid,60,1.7698512830532096,1.3735032028196599,0.13084107558714236
combination,2,ex_covid,79,1.7142195417617716,1.357670026783636,0.24548092849254577
combination,3,full,85,4.800098974741239,2.161986699152922,0.3340551489802354
combination,3,pre_covid,60,1.7180239300075222,1.3441296793977235,0.09489253710227055
combination,3,ex_covid,79,1.7179514444759303,1.3541700741262024,0.181726446180684
