param,loading
loading.0->INDPRO,-0.40426187486078247
loading.0->PAYEMS,-0.4614824276759814
loading.0->RSAFS,-0.06178796849084451
loading.0->UNRATE,0.34752937134941575
loading.0->ICSA,-0.005038450943094768
loading.0->HOUST,-0.08763474348347632
loading.0->DGORDER,-0.1563681555845508
loading.0->UMCSENT,-0.30495224843784796
loading.0->PCEPI,0.08883970927377681
loading.0->T10Y2Y,0.41759474537747215
loading.0->BAA10Y,0.31025632003669606
loading.0->NASDAQCOM,-0.31319226289302393
loading.0->gdp_growth,-0.059145536198555546
